Postcode Sector,LSOA11CD,IMD_Decile,Latitude,Longitude
NE157,E01008416,5.0,54.98192317835127,-1.689605771648104
NE2 3,E01008418,10.0,55.00431073008154,-1.6119214573257037
NE3 1,E01008418,10.0,55.00431073008154,-1.6119214573257037
NE3 1,E01008419,10.0,55.00464568259076,-1.6215183935496655
NE3 4,E01008419,10.0,55.00464568259076,-1.6215183935496655
NE2 3,E01008420,10.0,55.0006661678989,-1.6200032354444345
NE3 1,E01008420,10.0,55.0006661678989,-1.6200032354444345
NE3 4,E01008420,10.0,55.0006661678989,-1.6200032354444345
NE3 3,E01008421,10.0,55.00276937940516,-1.63226404067212
NE3 4,E01008421,10.0,55.00276937940516,-1.63226404067212
NE2 2,E01008422,10.0,54.99984674328321,-1.609101853542017
NE2 3,E01008422,10.0,54.99984674328321,-1.609101853542017
NE3 1,E01008422,10.0,54.99984674328321,-1.609101853542017
NE2 3,E01008423,10.0,54.9984705005125,-1.6254916479935604
NE3 4,E01008423,10.0,54.9984705005125,-1.6254916479935604
NE3 1,E01008424,7.0,55.00675134356781,-1.6037479128562364
NE6 3,E01008425,1.0,54.97035598279303,-1.5413271159674578
NE6 2,E01008426,1.0,54.97207435607429,-1.5552570669595684
NE6 3,E01008426,1.0,54.97207435607429,-1.5552570669595684
NE6 2,E01008427,1.0,54.96399102779422,-1.5485797311101577
NE6 3,E01008427,1.0,54.96399102779422,-1.5485797311101577
NE6 2,E01008428,2.0,54.968352419947855,-1.550697762797708
NE6 3,E01008428,2.0,54.968352419947855,-1.550697762797708
NE6 3,E01008429,1.0,54.9746448396923,-1.5454039711367726
NE6 4,E01008429,1.0,54.9746448396923,-1.5454039711367726
NE6 4,E01008430,2.0,54.977883713457935,-1.5431571033598557
NE6 3,E01008431,4.0,54.97850790453484,-1.5493515259704704
NE6 4,E01008431,4.0,54.97850790453484,-1.5493515259704704
NE6 2,E01008432,2.0,54.979438631056986,-1.5537635274731327
NE6 4,E01008432,2.0,54.979438631056986,-1.5537635274731327
NE6 4,E01008433,5.0,54.9884186292881,-1.5570273154366518
NE6 4,E01008434,6.0,54.98898784987942,-1.5468206043846415
NE6 4,E01008435,2.0,54.98446833040303,-1.5516557325415354
NE6 4,E01008436,1.0,54.98298414954532,-1.5402891260031473
NE4 6,E01008437,1.0,54.96392936673545,-1.642437598797556
NE4 7,E01008437,1.0,54.96392936673545,-1.642437598797556
NE4 8,E01008437,1.0,54.96392936673545,-1.642437598797556
NE4 6,E01008438,1.0,54.9648538565388,-1.62899753309195
NE4 7,E01008438,1.0,54.9648538565388,-1.62899753309195
NE4 6,E01008439,1.0,54.96989252871428,-1.6324665518988315
NE4 7,E01008439,1.0,54.96989252871428,-1.6324665518988315
NE5 5,E01008441,2.0,54.99999146314595,-1.698263603880547
NE5 1,E01008442,9.0,55.000979080376254,-1.7162242610472067
NE159,E01008443,9.0,55.00431233543105,-1.737415528591043
NE5 1,E01008443,9.0,55.00431233543105,-1.737415528591043
NE5 1,E01008444,8.0,55.00254908866824,-1.7074240332399409
NE5 5,E01008444,8.0,55.00254908866824,-1.7074240332399409
NE5 2,E01008445,4.0,54.99744425098384,-1.687457119517736
NE5 4,E01008445,4.0,54.99744425098384,-1.687457119517736
NE5 5,E01008445,4.0,54.99744425098384,-1.687457119517736
NE5 1,E01008446,8.0,54.99687621566762,-1.7054328406804349
NE5 5,E01008446,8.0,54.99687621566762,-1.7054328406804349
NE5 1,E01008447,8.0,54.99658934823924,-1.7164642649064668
NE5 1,E01008448,9.0,55.00594062108164,-1.7190788065362923
NE4 5,E01008449,2.0,54.9759434660601,-1.6440045930309108
NE4 6,E01008449,2.0,54.9759434660601,-1.6440045930309108
NE4 9,E01008449,2.0,54.9759434660601,-1.6440045930309108
NE4 9,E01008450,1.0,54.98664733327793,-1.6577185130897956
NE4 9,E01008451,3.0,54.98784807342258,-1.664652866080006
NE5 2,E01008451,3.0,54.98784807342258,-1.664652866080006
NE5 3,E01008451,3.0,54.98784807342258,-1.664652866080006
NE4 9,E01008452,7.0,54.9870365704302,-1.6474320880173343
NE4 9,E01008453,6.0,54.98238665367824,-1.6486621964909831
NE4 9,E01008455,3.0,54.977528610542045,-1.6498906298187983
NE5 4,E01008456,2.0,55.00246917655422,-1.6877012294449287
NE5 1,E01008457,1.0,55.00388640044327,-1.689128146057495
NE5 4,E01008457,1.0,55.00388640044327,-1.689128146057495
NE137,E01008458,7.0,55.02411789726634,-1.7048517177265008
NE138,E01008458,7.0,55.02411789726634,-1.7048517177265008
NE139,E01008458,7.0,55.02411789726634,-1.7048517177265008
NE209,E01008458,7.0,55.02411789726634,-1.7048517177265008
NE3 2,E01008458,7.0,55.02411789726634,-1.7048517177265008
NE5 1,E01008458,7.0,55.02411789726634,-1.7048517177265008
NE5 4,E01008458,7.0,55.02411789726634,-1.7048517177265008
NE5 1,E01008459,1.0,55.00853245604531,-1.6855949454507468
NE5 4,E01008459,1.0,55.00853245604531,-1.6855949454507468
NE5 4,E01008460,2.0,55.010858983426864,-1.6931205716292397
NE289,E01008461,3.0,55.00993982006062,-1.511955288122139
NE289,E01008462,3.0,55.00637602566909,-1.5197126484976036
NE289,E01008463,3.0,55.00909206881146,-1.5204761284518509
NE289,E01008464,7.0,55.007009852108,-1.5323168622662424
NE289,E01008465,7.0,55.00327660508378,-1.5327583614285154
NE289,E01008466,10.0,55.01463954381138,-1.5213197540694765
NE289,E01008467,7.0,55.01461626078853,-1.5133052910247575
NE289,E01008468,3.0,55.01084463950222,-1.5053928508283332
NE128,E01008469,7.0,55.00872670894591,-1.5684003219753035
NE129,E01008469,7.0,55.00872670894591,-1.5684003219753035
NE7 7,E01008469,7.0,55.00872670894591,-1.5684003219753035
NE127,E01008470,4.0,55.021183498399004,-1.566622075958747
NE128,E01008470,4.0,55.021183498399004,-1.566622075958747
NE129,E01008470,4.0,55.021183498399004,-1.566622075958747
NE127,E01008471,4.0,55.01819288586156,-1.576228522397639
